Title,Status,Priority,Estimate,Labels,Roadmap,Team,Type,Notes
Split monolithic supabase service into domain services,Backlog,High,5,"backend,refactor,services",Phase 2,Backend,Feature,"Target split: app/services/supabase.ts into authService profileService courseService lessonService progressService classService quizService badgeService"
Implement admin course lesson quiz full CRUD UI,Backlog,High,8,"frontend,admin,forms",Phase 2,Frontend,Feature,"Missing screens and actions for complete admin CRUD; align with cursor_prompt_agri_app.md Feature 8"
Add coordinator class management screens,Backlog,High,8,"frontend,coordinator,classes",Phase 2,Frontend,Feature,"Build create/detail/student tracking screens using RPC create_class_atomic and join code UX"
Add student join code flow locked lessons and quiz attempt UX,Backlog,High,8,"frontend,student,quiz",Phase 2,Frontend,Feature,"Integrate join_class_with_code and submit_quiz_attempt; add locked lesson and attempts-left UX"
Add independent learner browse enrol progress polish,Backlog,Medium,5,"frontend,independent",Phase 2,Frontend,Feature,"Finish self-paced flow polish and wire badge completion using check_and_award_badges"
Wire frontend services to new RPC functions,Ready,High,5,"backend,integration,rpc",Phase 2,Backend,Task,"RPCs available in DB: generate_join_code create_class_atomic join_class_with_code submit_quiz_attempt check_and_award_badges"
Replace raw DB errors with user friendly mapped errors,Ready,High,3,"ux,auth,errors",Phase 3,Frontend,Task,"Partially done in app/services/authService.ts mapAuthError; extend same pattern to class/enrolment/quiz services"
Add migration verification checklist in docs,Ready,Medium,2,"docs,database",Phase 3,Backend,Task,"Add checks for npx supabase migration list db push and table/function verification in docs"
Auth architecture alignment,In progress,High,5,"auth,core",Phase 1,Frontend,Epic,"Snippet: app/services/authService.ts (signIn signUp signOut getSession refreshSession), app/store/auth.ts (setAuth clearAuth session role), app/middleware/requireAuth.ts + requireRole.ts"
Supabase CLI project setup stabilization,In progress,Medium,2,"devops,supabase",Phase 1,Backend,Task,"Now standardized on npx supabase due global CLI mismatch; linked project ref cwxmytdhlymmvqgchllw"
Database RPC migrations review,In review,High,3,"database,security,review",Phase 3,Backend,Review,"Review SQL semantics for subscriptions slot count scoring rules and security definer usage across 20260422123000..20260422123300 migrations"
Auth screen and profile logout flow review,In review,High,3,"frontend,auth,review",Phase 3,Frontend,Review,"Snippet: app/auth/login.tsx uses authService.signIn + setAuth; profile screens now call authService.signOut and read store.profile"
Link repo to Supabase remote project,Done,High,1,"devops,supabase",Phase 1,Backend,Task,"Completed with npx supabase link --project-ref cwxmytdhlymmvqgchllw"
Apply initial schema migration,Done,High,2,"database,migration",Phase 1,Backend,Task,"Completed: npx supabase db push applied supabase/migrations/20260413000000_init.sql"
Apply secondary RPC migrations,Done,High,3,"database,rpc,migration",Phase 1,Backend,Task,"Completed: npx supabase db push applied 20260422123000_rpc_backend_flows.sql 20260422123100_rpc_join_class_with_code.sql 20260422123200_rpc_submit_quiz_attempt.sql 20260422123300_rpc_check_and_award_badges.sql"
Install Supabase SSR dependency,Done,Medium,1,"dependencies,supabase",Phase 1,Frontend,Task,"Completed: package.json now includes @supabase/ssr ^0.10.2 and package-lock.json updated"
Configure app env for Supabase project URL and key,Done,High,1,"config,auth",Phase 1,Frontend,Task,"Completed: .env uses EXPO_PUBLIC_SUPABASE_URL=https://cwxmytdhlymmvqgchllw.supabase.co and EXPO_PUBLIC_SUPABASE_ANON_KEY set"
